ID,Bilddatei,Name / Bezeichnung,Erkannte Gefäßform,Form SKOS-URI,Form Konfidenz (%),Erkannte Ware/Stil,Ware SKOS-URI,Ware Konfidenz (%),Erkannte Szenen / Motive,Produktionsgebiet,Künstler / Werkstatt,Datierung,Material,Standort,Inventar-Nr.,Beazley-Nr.,Kerameikos Form-URI,Kerameikos Technik-URI,Kerameikos Herkunft-URI,Kerameikos Künstler-URI,Skosmos Link (Form),Skosmos Link (Ware)
bapd_1000_1,bapd_1000_1.jpg,Apollon auf antiker Lekythos (Manner of HAIMON P),Lekythos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_5b62f4af,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,"Manner of HAIMON P by VOS ATHENS 581, CLASS OF by VOS",ca. 500–450 v. Chr.,Ton,"Leiden, Rijksmuseum van Oudheden",ROII31,BAPD 1000,https://kerameikos.org/id/lekythos,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_5b62f4af,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_1000_2,bapd_1000_2.jpg,Apollon auf antiker Lekythos (Manner of HAIMON P),Lekythos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_5b62f4af,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,"Manner of HAIMON P by VOS ATHENS 581, CLASS OF by VOS",ca. 500–450 v. Chr.,Ton,"Leiden, Rijksmuseum van Oudheden",ROII31,BAPD 1000,https://kerameikos.org/id/lekythos,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_5b62f4af,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_1000_3,bapd_1000_3.jpg,Apollon auf antiker Lekythos (Manner of HAIMON P),Lekythos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_5b62f4af,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,"Manner of HAIMON P by VOS ATHENS 581, CLASS OF by VOS",ca. 500–450 v. Chr.,Ton,"Leiden, Rijksmuseum van Oudheden",ROII31,BAPD 1000,https://kerameikos.org/id/lekythos,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_5b62f4af,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_1000_4,bapd_1000_4.jpg,Apollon auf antiker Lekythos (Manner of HAIMON P),Lekythos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_5b62f4af,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,"Manner of HAIMON P by VOS ATHENS 581, CLASS OF by VOS",ca. 500–450 v. Chr.,Ton,"Leiden, Rijksmuseum van Oudheden",ROII31,BAPD 1000,https://kerameikos.org/id/lekythos,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_5b62f4af,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_1,bapd_100_1.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_10,bapd_100_10.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_11,bapd_100_11.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_12,bapd_100_12.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_13,bapd_100_13.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_14,bapd_100_14.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_15,bapd_100_15.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_16,bapd_100_16.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_17,bapd_100_17.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_18,bapd_100_18.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
bapd_100_19,bapd_100_19.jpg,Athena auf antiker Hydria,Hydria,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_bf070035,-,Attisch schwarzfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_fd4cbaed,-,-,Attisch,,ca. 575–525 v. Chr.,Ton,"Rome, Musei Capitolini",65,BAPD 100,https://kerameikos.org/id/hydria,https://kerameikos.org/id/black_figure,https://kerameikos.org/id/athens,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_bf070035,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_fd4cbaed
