ID,Bilddatei,Name / Bezeichnung,Erkannte Gefäßform,Form SKOS-URI,Form Konfidenz (%),Erkannte Ware/Stil,Ware SKOS-URI,Ware Konfidenz (%),Produktionsgebiet,Künstler / Werkstatt,Datierung,Material,Standort,Inventar-Nr.,Beazley-Nr.,Skosmos Link (Form),Skosmos Link (Ware)
0470d55f-92f3-4d6a-8180-4d2d891a9277,0470d55f-92f3-4d6a-8180-4d2d891a9277.jpg,Attisch rotfigurige Lekythos aus Grab T 206-8 in Metapont,Lekythos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_5b62f4af,80.0%,Attisch Rotfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_69d3cf4c,50.2%,Attisch,Berliner Maler,Um 240 v. Chr.,Ton,,,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_5b62f4af,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_69d3cf4c
0d1a3acf-40ee-4e88-9075-fc0e0593956d,0d1a3acf-40ee-4e88-9075-fc0e0593956d.jpg,Psykter,Psykter,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_c73fec47,50.0%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,55.1%,Attika,Oltos,525 v. Chr. - 500 v. Chr.,Ton,"New York, Sammlung Norbert Schimmel (ehemals)",,ARV²1622.7,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_c73fec47,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
10ec9fff-4813-4a6c-8a39-64b1a78e7660,10ec9fff-4813-4a6c-8a39-64b1a78e7660.jpg,"Athlet, bekränzt und mit Bändern geschmückt",Trinkschale,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_b1d6ebaf,39.5%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,79.3%,Attisch,Oltos,520 v. Chr. - 510 v. Chr.,Ton,,,"ARV² 61, 73",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_b1d6ebaf,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
202aa198-1575-43d3-a65e-f2c1354d0a0c,202aa198-1575-43d3-a65e-f2c1354d0a0c.jpg,Herakles und Acheloos,Stamnos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_f17f817a,53.3%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,68.1%,Attisch,Oltos,Um 520 v. Chr.,Ton,"London, British Museum",E 437,"ARV² 54, 5",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_f17f817a,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
21e1a103-a9c3-4f87-bdc1-8d17aba27b44,21e1a103-a9c3-4f87-bdc1-8d17aba27b44.jpg,Kylix des Oltos: Eine Mänade erwehrt sich zweier zudringlicher Satyrn,Trinkschale,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_b1d6ebaf,28.3%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,51.1%,Attisch,Oltos (Maler); Kachrylion (Töpfer),Um 500 v. Chr.,Ton,"Kopenhagen, Nationalmuseum",13407,ARV² 59.57|BAPD 200447,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_b1d6ebaf,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
38d61f1d-516f-4b46-9a9d-2de7aa785843,38d61f1d-516f-4b46-9a9d-2de7aa785843.jpg,Glockenkrater des Malers der Berliner Tänzerin: Herakles und der nemeische Löwe,Krater,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_4ec3b0ea,56.3%,Unteritalisch Rotfigurig,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_b5d694d6,51.0%,Apulisch,Maler der Berliner Tänzerin,440 v. Chr. - 420 v. Chr.,Ton,"Neapel, Museo Archeologico Nazionale",SANC 81571,,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_4ec3b0ea,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_b5d694d6
4216f1b0-ff90-4e8d-b78b-147c8bc345e8,4216f1b0-ff90-4e8d-b78b-147c8bc345e8.jpg,Priamos erbittet Leiche des Hektors von Achill,Trinkschale,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_b1d6ebaf,50.9%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,52.3%,Attisch,Oltos,520 v. Chr. - 480 v. Chr.,Ton,"München, Staatliche Antikensammlungen",2618,"ARV² 61, 74; 1622",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_b1d6ebaf,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
4aca1481-6148-450f-bae2-df23e44610bd,4aca1481-6148-450f-bae2-df23e44610bd.jpg,Schale des Oltos: Theseus und Antiope,Trinkschale,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_b1d6ebaf,71.1%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,59.4%,Attisch,Kachrylion,520 v. Chr. - 500 v. Chr.,Ton,"London, British Museum",E 41|41,"ARV² 58,51|BAPD 200441",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_b1d6ebaf,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
5be01285-897a-474d-9865-c95c30dabc74,5be01285-897a-474d-9865-c95c30dabc74.jpg,Psykter des Oltos-Malers: Krieger reiten auf Delphinen über das Meer,Psykter,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_c73fec47,64.8%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,46.2%,Attisch,Oltos,520 v. Chr. - 510 v. Chr.,Ton,"New York, The Metropolitan Museum of Art",1989.281.69,"ARV² 1622,7|BAPD 275024",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_c73fec47,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
5c16d54e-0b73-4742-841c-f9055cd92624,5c16d54e-0b73-4742-841c-f9055cd92624.jpg,Stamnos des Oltos und des Töpfers Pamphaios: Herakles greift das Horn des fischleibigen Acheloos,Stamnos,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_f17f817a,46.0%,Attische Keramik,http://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/concept_2ad94740,57.5%,Attisch,Pamphaios,Um 520 v. Chr.,Ton,"London, British Museum",E 437,"ARV² 54,5|BAPD 200437",https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_f17f817a,https://vocabs.bcdh.uni-bonn.de/hector_heritage_assets/de/page/concept_2ad94740
